date,product,price,quantity,weather,day,discount,revenue
2026-03-13,Chocolate,120,39,Rainy,Friday,0,4680
2026-03-13,Strawberry,96,82,Hot,Friday,1,7872
2026-03-13,Mint,94,61,Hot,Friday,1,5734
2026-03-13,Mango,102,27,Cold,Friday,1,2754
2026-03-14,Vanilla,100,39,Rainy,Saturday,0,3900
2026-03-14,Chocolate,110,31,Cold,Saturday,1,3410
2026-03-14,Strawberry,91,87,Hot,Saturday,1,7917
2026-03-14,Mint,105,91,Hot,Saturday,0,9555
2026-03-14,Mango,96,63,Hot,Saturday,1,6048
2026-03-15,Vanilla,83,32,Cold,Sunday,1,2656
2026-03-15,Chocolate,108,37,Rainy,Sunday,1,3996
2026-03-15,Strawberry,110,21,Rainy,Sunday,0,2310
2026-03-15,Mint,89,44,Cold,Sunday,1,3916
2026-03-15,Mango,115,60,Hot,Sunday,0,6900
2026-03-16,Vanilla,100,29,Rainy,Monday,0,2900
2026-03-16,Chocolate,120,30,Cold,Monday,0,3600
2026-03-16,Strawberry,110,79,Hot,Monday,0,8690
2026-03-16,Mint,86,81,Hot,Monday,1,6966
2026-03-16,Mango,115,32,Cold,Monday,0,3680
2026-03-17,Vanilla,85,75,Hot,Tuesday,1,6375
2026-03-17,Chocolate,101,80,Hot,Tuesday,1,8080
2026-03-17,Strawberry,110,40,Rainy,Tuesday,0,4400
2026-03-17,Mint,92,80,Hot,Tuesday,1,7360
2026-03-17,Mango,96,34,Rainy,Tuesday,1,3264
2026-03-18,Vanilla,100,80,Hot,Wednesday,0,8000
2026-03-18,Chocolate,102,78,Hot,Wednesday,1,7956
2026-03-18,Strawberry,96,68,Hot,Wednesday,1,6528
2026-03-18,Mint,105,18,Rainy,Wednesday,0,1890
2026-03-18,Mango,105,41,Cold,Wednesday,1,4305
2026-03-19,Vanilla,83,87,Hot,Thursday,1,7221
2026-03-19,Chocolate,120,80,Hot,Thursday,0,9600
2026-03-19,Strawberry,95,65,Hot,Thursday,1,6175
2026-03-19,Mint,93,47,Cold,Thursday,1,4371
2026-03-19,Mango,96,11,Rainy,Thursday,1,1056
2026-03-20,Vanilla,90,80,Hot,Friday,1,7200
2026-03-20,Chocolate,120,50,Hot,Friday,0,6000
2026-03-20,Strawberry,110,28,Cold,Friday,0,3080
2026-03-20,Mint,95,55,Hot,Friday,1,5225
2026-03-20,Mango,115,46,Hot,Friday,0,5290
2026-03-21,Vanilla,100,81,Hot,Saturday,0,8100
2026-03-21,Chocolate,105,36,Rainy,Saturday,1,3780
2026-03-21,Strawberry,96,38,Cold,Saturday,1,3648
2026-03-21,Mint,94,88,Hot,Saturday,1,8272
2026-03-21,Mango,115,26,Cold,Saturday,0,2990
2026-03-22,Vanilla,100,80,Hot,Sunday,0,8000
2026-03-22,Chocolate,101,29,Cold,Sunday,1,2929
2026-03-22,Strawberry,110,63,Hot,Sunday,0,6930
2026-03-22,Mint,105,58,Hot,Sunday,0,6090
2026-03-22,Mango,115,59,Hot,Sunday,0,6785
2026-03-23,Vanilla,100,64,Hot,Monday,0,6400
2026-03-23,Chocolate,120,61,Hot,Monday,0,7320
2026-03-23,Strawberry,110,36,Cold,Monday,0,3960
2026-03-23,Mint,95,47,Hot,Monday,1,4465
2026-03-23,Mango,115,73,Hot,Monday,0,8395
2026-03-24,Vanilla,81,67,Hot,Tuesday,1,5427
2026-03-24,Chocolate,120,69,Hot,Tuesday,0,8280
2026-03-24,Strawberry,110,89,Hot,Tuesday,0,9790
2026-03-24,Mint,90,72,Hot,Tuesday,1,6480
2026-03-24,Mango,115,76,Hot,Tuesday,0,8740
2026-03-25,Vanilla,83,77,Hot,Wednesday,1,6391
2026-03-25,Chocolate,120,36,Cold,Wednesday,0,4320
2026-03-25,Strawberry,96,53,Hot,Wednesday,1,5088
2026-03-25,Mint,88,21,Rainy,Wednesday,1,1848
2026-03-25,Mango,100,86,Hot,Wednesday,1,8600
2026-03-26,Vanilla,90,99,Hot,Thursday,1,8910
2026-03-26,Chocolate,120,27,Cold,Thursday,0,3240
2026-03-26,Strawberry,110,38,Cold,Thursday,0,4180
2026-03-26,Mint,90,65,Hot,Thursday,1,5850
2026-03-26,Mango,115,65,Hot,Thursday,0,7475
2026-03-27,Vanilla,100,33,Cold,Friday,0,3300
2026-03-27,Chocolate,103,37,Cold,Friday,1,3811
2026-03-27,Strawberry,110,18,Cold,Friday,0,1980
2026-03-27,Mint,105,30,Cold,Friday,0,3150
2026-03-27,Mango,103,58,Hot,Friday,1,5974
2026-03-28,Vanilla,82,34,Rainy,Saturday,1,2788
2026-03-28,Chocolate,120,87,Hot,Saturday,0,10440
2026-03-28,Strawberry,110,24,Rainy,Saturday,0,2640
2026-03-28,Mint,93,54,Hot,Saturday,1,5022
2026-03-28,Mango,102,28,Cold,Saturday,1,2856
2026-03-29,Vanilla,87,23,Rainy,Sunday,1,2001
2026-03-29,Chocolate,120,23,Cold,Sunday,0,2760
2026-03-29,Strawberry,110,34,Cold,Sunday,0,3740
2026-03-29,Mint,105,36,Cold,Sunday,0,3780
2026-03-29,Mango,115,62,Hot,Sunday,0,7130
2026-03-30,Vanilla,85,86,Hot,Monday,1,7310
2026-03-30,Chocolate,120,81,Hot,Monday,0,9720
2026-03-30,Strawberry,97,31,Rainy,Monday,1,3007
2026-03-30,Mint,105,60,Hot,Monday,0,6300
2026-03-30,Mango,99,86,Hot,Monday,1,8514
